rule_id,rule_text,variables,branch_hints,contains_path_like_text,expected_scope,confidence
R0001,"This document focuses on the practical steps to generate LEAP-ready stock inputs using leap_transport, then load them into LEAP.",Stock,,False,general,medium
R0002,Lifecycle profiles define fleet turnover behavior and age structure.,,Age,False,lifecycle_profile,medium
R0003,Survival curve: probability a vehicle is still on the road at each age.,,Age,False,general,medium
R0004,Vintage curve: distribution of vehicle ages on the road in a steady state.,,Age,False,lifecycle_profile,medium
R0005,"In `leap_transport`, these profiles are used as a calibration mechanism to keep stock-flow accounting coherent (not as a direct fit to noisy observed data). They can also represent policy effects, such as faster ICE scrappage or changes to base-year fleet age.",Stock,ICE | Age,False,general,high
R0006,"Current Accounts: the base-year calibration scenario. This is where existing stock, starting shares, mileage settings, and lifecycle profiles are normally set.",Stock | Mileage,Age,False,current_accounts_context,high
R0007,"Projection scenarios: future scenarios such as Reference or Target. These contain the forward assumptions for sales, shares, fuel economy, and other variables.",Sales | Fuel Economy,,False,projection_context,medium
R0008,Stock: the number of vehicles currently in operation in a branch.,Stock,,False,general,medium
R0009,Sales: the number of new vehicles added in a year.,Sales,,False,general,medium
R0010,"Retirements: vehicles leaving the stock in a year, usually as a result of the survival profile and any scrappage assumptions.",Stock,Age,False,general,high
R0011,Sales Share: the percentage of a parent branch’s sales allocated to each child branch.,Sales Share | Sales,Age,False,general,high
R0012,"Stock Share: the percentage of a parent branch’s stock allocated to each child branch, mainly used in Current Accounts.",Stock,Age,False,current_accounts_context,high
R0013,Device Share: the split of an engine type across its fuels. These shares should sum to 100% under the engine type.,Device Share,ICE,False,engine_type,high
R0014,Scrappage: early retirement of vehicles beyond the normal survival profile.,,Age,False,general,medium
R0015,"Fuel Economy: energy consumed per unit of distance travelled, shown here as MJ per 100 km.",Fuel Economy,,False,general,medium
R0016,Mileage: annual distance travelled per vehicle.,Mileage,Age,False,general,high
R0017,"Transport type: The highest-level branch in the transport model. It represents the broad transport segment being modelled, such as passenger road, freight road, or non-road modes. In the road model, this level holds the top-level sales projection that the rest of the branch is built from. In non-road, it is the level where overall activity is usually set and then split downward.",Sales,Passenger road | Freight road,False,transport_type,high
R0018,"Vehicle type: A subdivision within a transport type that splits total transport demand or total vehicle ownership into categories of vehicles, such as cars, motorcycles, and buses. The document explains that total ownership is divided into vehicle types using vehicle type shares, and those shares determine how total sales or stocks are allocated across the fleet",Stock | Sales,Buses | Motorcycles,False,vehicle_type,high
